Unnamed: 0,0000000000,Student ID,Session 20/09/2023,Session 27/09/2023,Session 04/10/2023,Session 11/10/2023,Session 18/10/2023,Session 25/10/2023,Session 01/11/2023,Session 08/11/2023,Session 15/11/2023,Session 22/11/2023,Session 29/11/2023,Session 06/12/2023,Session 13/12/2023,Session 20/12/2023,sessionsAttended,attendancePercentage,Algorithms and Complexity,Analysis 1,Bachelor Semester Project 1,Bachelor Semester Project 2,Bachelor Semester Project 3,Bachelor Semester Project 5,Bachelor Semester Project 6,Computational Science,Computational Science 1,Computing Infrastructure 1,Discrete Mathematics 1,Discrete Mathématics 2,Human-Computer Interaction (HCI),Information Management 1,Information Management 2,Intelligent Systems 2,Introduction to Machine Learning,Linear Algebra 1,Linear Algebra 2,Natural Language Processing,Online Course (OL),Online courses (OL),Programming Fundamentals 1,Programming Fundamentals 3,Programming Languages,Security 1,Security 2,Software Engineering 1,Software Engineering 2,Software Foundations,Theoretical Computer Science 1,User Centered Design,Web Development 1,Web Development 2,Unnamed: 35
0,0,0220415205,A,A,A,P,A,P,A,A,A,A,A,A,A,A,2,14.285714285714285,11.6,,,,20,,,,,,,15.5,,12,,,,,,,,,,10.3,,12,,,,,,,,,
1,1,0222056418,A,A,A,A,A,P,A,A,A,A,A,P,P,P,4,28.57142857142857,11.5,,,,15,,,,,7.8,5.6,11,,12,,,,,5.5,,,,6.6,6.2,,6,,,,,3,,,,
2,2,0221390035,P,A,A,A,A,P,A,A,A,A,P,P,A,P,5,35.714285714285715,17.2,,,,20,,,,,,,19,,19,,,,,,,,,,17.2,,18,,,,,,,,,
3,3,022191755A,A,P,A,P,A,P,A,A,A,A,A,A,A,A,3,21.428571428571427,14.7,,,,18,,,,,,,15.5,,15,,,,,,,,,,14.9,,13,,,,,,,,,
4,4,022043375D,A,A,A,A,A,P,A,A,A,A,A,A,A,A,1,7.142857142857142,13.2,,,,19,,,,,,,15,,10,,,,,,,,,,8,,10,,,,,7,,,,
5,5,0221973140,P,P,A,P,P,P,A,A,A,A,A,P,A,A,6,42.85714285714285,11.8,,,,12.5,,,,,12,,14,,9,,,,,9,,,,,10,,6,,,,,,,,,
6,6,0221276350,A,P,A,A,A,P,A,A,A,A,A,A,A,A,2,14.285714285714285,16.3,,,,20,,,,,,,15,,14,,,,,,,,,,13.3,,14,,,,,,,,,
7,7,022197615E,A,P,A,P,A,A,A,P,P,A,A,A,A,A,4,28.57142857142857,10,,,,19,,,,,11.8,,ABS_EXAM,,13,,,,,,,,,,12.5,,11,,,,,ABS_EXAM,,,,
8,8,0221666404,A,A,A,A,A,P,A,A,A,A,A,P,A,A,2,14.285714285714285,13.6,4,,,19.5,,,,,7,,10,,11,,,,ABS_EXAM,,,,,,8,,9,,,,,,,,,
9,9,0221705608,P,P,A,P,P,P,A,A,A,A,A,A,A,A,5,35.714285714285715,17.5,,,,18,,,,,,,16.5,,17,,,,,,,,,,12.4,,14,,,,,,,,,
10,10,022041284E,A,P,P,A,P,P,A,A,A,A,A,A,A,A,4,28.57142857142857,15.1,,,,19,,,,,,13.8,14.5,,16,,,,,,,,,,8,,12,,,,,,,,,
11,11,0221081548,P,P,A,P,P,P,A,A,A,A,A,A,A,A,5,35.714285714285715,13.1,,,,8.5,,,,,,14.1,10,,15,,,,,,,,,,12.5,,11,,,,,7,,,,
12,12,022029815F,A,P,A,P,P,P,A,A,A,A,A,A,A,P,5,35.714285714285715,18.6,,,,19.5,,,,,,,20,,20,,,,,,,,,,19.2,,20,,,,,,,,,
13,13,0220502202,A,P,A,A,A,A,A,P,A,A,P,A,A,A,3,21.428571428571427,7.4,,,,0,,,,,,,8,,6,,,,,,,,,,7.6,,11,,,,,,,,,
14,14,022012490C,A,A,A,A,A,A,A,A,A,A,A,A,P,P,2,14.285714285714285,12.4,,,,15.5,,,,,,,10.5,,14,,,,,8.5,,,,,12.2,,14,,,,,,,,,
15,15,0220291820,P,P,A,P,P,P,A,A,A,A,P,P,A,P,8,57.14285714285714,13.4,,,,17,,,,,,,13,,14,,,,,,,,,,13.6,,10,,,,,,,,,
16,16,0221858451,A,P,P,P,A,P,A,A,A,A,P,A,A,P,6,42.85714285714285,16.2,,,14.0,16.5,,,,,,,13.5,,12,,,,,,,,,,15.5,,18,,,,,,,,,
17,17,022173540F,A,P,A,A,A,A,A,A,A,A,A,A,A,A,1,7.142857142857142,16,,,,17.5,,,,,,,15.5,,13,,,,,,,,,,8,,11,,,,,,,,,
18,18,022122100C,A,P,A,P,A,P,A,A,A,P,A,A,A,A,4,28.57142857142857,12.2,,,,17.5,,,,,,,11.5,,10,,,,,,,,,,8,,12,,,,,,,,,
19,19,0191621038,A,A,A,A,A,P,A,A,A,A,A,A,A,A,1,7.142857142857142,ABS_EXAM_JUST,,,,15.5,,,,,8.3,,ABS_EXAM,,ABS_EXAM,,,ABS_EXAM,,,,,,,ABS_EXAM,,ABS_EXAM_JUST,,,,,ABS_EXAM,,,,
20,20,0221586049,P,P,A,A,A,P,A,A,A,A,P,A,A,A,4,28.57142857142857,16.8,,,,19,,,,,,,15.5,,19,,,,,,,,,,17.5,,16,,,,,,,,,
21,21,0221943339,A,A,A,A,A,P,A,A,A,A,P,P,A,P,4,28.57142857142857,17.3,,,,18.5,,,,,,,12,,16,,,,,,,,,,15.8,,15,,,,,,,,,
22,22,022200811A,P,A,P,A,P,P,A,A,A,A,A,A,A,A,4,28.57142857142857,13.7,,,,19.5,,,,,,,11.5,,11,,,,,,,,,,15.1,,15,,,,,,,,,
23,23,0221986060,P,P,A,A,A,A,A,A,A,A,A,A,A,A,2,14.285714285714285,11.9,,,,3.5,,,,,,,ABS_EXAM,,5,,,,,,,,,,8,,11,,,,,ABS_EXAM,,,,
24,24,0220389426,A,A,A,A,A,A,A,A,A,A,A,A,A,A,0,0.0,10,,,10.5,,,,,,,,10.5,,10,,,,,10,,,,,7.6,,10,,,,,,,,,
25,25,0180632649,P,A,A,A,A,P,A,A,A,A,A,A,A,P,3,21.428571428571427,13,,,,16,,,,,,,14,,14,,,,,,,,,,15.4,,13,,,,,,,,,
26,26,022012681F,A,P,A,A,A,A,A,A,A,A,A,A,A,P,2,14.285714285714285,13.6,,,,17.5,,,,,,,12.5,,12,,,,,,,,,,13.3,,12,,,,,,,,,
27,27,022142822F,A,A,A,A,A,A,A,A,A,A,A,A,A,A,0,0.0,14,,,,19.5,,,,,,,12.5,,12,,,,,,,,,,15.5,,12,,,,,,,,,
28,28,0221541510,P,P,A,P,A,A,A,A,A,A,A,A,A,A,3,21.428571428571427,10.8,,,,17.5,,,,,,,15,,10,,,,,5,,,,,8,,11,,,,,10,,,,
29,29,0221823214,P,A,A,A,A,P,A,A,A,A,A,A,A,A,2,14.285714285714285,11.9,,,,16.5,,,,,,,13,,12,,,,,,,,,,12.1,,14,,,,,,,,,
30,30,022112732D,A,A,A,A,A,P,A,A,A,A,A,A,A,A,1,7.142857142857142,11.2,,,,0,,,,,,,10,,15,,,,,,,,,,8,,9,,,,,,,,,
31,31,0221908904,A,A,A,A,A,P,A,A,A,A,A,A,A,P,2,14.285714285714285,16.2,,,,18.5,,,,,,,16,,11,,,,,,,,,,15,,14,,,,,,,,,
32,32,0211277704,A,A,A,A,A,A,A,A,A,A,A,A,A,A,0,0.0,ABS_EXAM,,,,0,,,,,ABS_EXAM,,ABS_EXAM,,7,,,,,,,,,,6.9,,7,,,,,,,,,
33,33,022158614A,A,A,A,A,A,P,A,A,A,A,A,A,A,A,1,7.142857142857142,12.9,,,,18.5,,,,,,,14.5,,13,,,,,,,,,,8,,12,,,,,6,,,,
34,34,022148763B,A,A,A,A,A,A,A,A,A,A,A,A,A,P,1,7.142857142857142,11.6,,,,8.5,,,,,,,ABS_EXAM,,13,,,,,,,,,,10,,9,,,,,,,,,
35,35,0220619006,P,A,A,A,A,A,P,A,A,A,A,A,A,A,2,14.285714285714285,13.4,,,,18,,,,,,11.9,ABS_EXAM,,15,,,,,,,,,,13.1,,9,,,,,11,,,,
36,36,0220224526,P,P,A,A,A,A,A,A,P,A,A,A,A,A,3,21.428571428571427,17.4,,,,19,,,,,,,19,,20,,,,,,,,,,17,,20,,,,,,,,,
37,37,0221286252,A,A,A,A,A,P,A,A,A,A,A,A,A,A,1,7.142857142857142,,,,,18.5,,,,,,,,,19,,,,,,,,,,18.3,,18,,,,,,,,,
38,38,0222086421,P,A,A,A,A,P,A,A,A,A,A,A,A,A,2,14.285714285714285,,,,,18.5,,,,,,,,,,,,,,,,,,,16.1,,18,,,,,,,,,
