Unnamed: 0,0000000000,Student ID,Session 20/09/2023,Session 27/09/2023,Session 04/10/2023,Session 11/10/2023,Session 18/10/2023,Session 25/10/2023,Session 01/11/2023,Session 08/11/2023,Session 15/11/2023,Session 22/11/2023,Session 29/11/2023,Session 06/12/2023,Session 13/12/2023,Session 20/12/2023,sessionsAttended,attendancePercentage,Algorithms and Complexity,Analysis 1,Bachelor Semester Project 1,Bachelor Semester Project 2,Bachelor Semester Project 3,Bachelor Semester Project 5,Bachelor Semester Project 6,Computational Science,Computational Science 1,Computing Infrastructure 1,Discrete Mathematics 1,Discrete Mathématics 2,Human-Computer Interaction (HCI),Information Management 1,Information Management 2,Intelligent Systems 2,Introduction to Machine Learning,Linear Algebra 1,Linear Algebra 2,Natural Language Processing,Online Course (OL),Online courses (OL),Programming Fundamentals 1,Programming Fundamentals 3,Programming Languages,Security 1,Security 2,Software Engineering 1,Software Engineering 2,Software Foundations,Theoretical Computer Science 1,User Centered Design,Web Development 1,Web Development 2,Unnamed: 35
0,0,0221823214,P,A,A,A,A,P,A,A,A,A,A,P,A,A,3,21.428571428571427,11.9,,,,16.5,,,,,,,13,,12,,,,,,,,,,12.1,,14,,,,,,,,,
1,1,0220415205,A,A,A,A,A,A,A,A,P,A,A,P,A,A,2,14.285714285714285,11.6,,,,20,,,,,,,15.5,,12,,,,,,,,,,10.3,,12,,,,,,,,,
2,2,022112732D,A,A,A,A,A,A,A,A,A,A,A,P,A,A,1,7.142857142857142,11.2,,,,0,,,,,,,10,,15,,,,,,,,,,8,,9,,,,,,,,,
3,3,022041284E,P,A,A,P,A,P,A,A,P,A,A,P,A,P,6,42.85714285714285,15.1,,,,19,,,,,,13.8,14.5,,16,,,,,,,,,,8,,12,,,,,,,,,
4,4,0221390035,A,P,P,P,A,A,A,A,A,A,P,A,A,A,4,28.57142857142857,17.2,,,,20,,,,,,,19,,19,,,,,,,,,,17.2,,18,,,,,,,,,
5,5,022191755A,P,P,P,A,A,A,A,A,A,A,A,A,A,A,3,21.428571428571427,14.7,,,,18,,,,,,,15.5,,15,,,,,,,,,,14.9,,13,,,,,,,,,
6,6,0220291820,A,A,A,A,A,A,A,P,A,A,P,A,A,A,2,14.285714285714285,13.4,,,,17,,,,,,,13,,14,,,,,,,,,,13.6,,10,,,,,,,,,
7,7,0221973140,A,P,A,A,P,A,A,A,P,A,A,P,A,A,4,28.57142857142857,11.8,,,,12.5,,,,,12,,14,,9,,,,,9,,,,,10,,6,,,,,,,,,
8,8,022043375D,A,P,A,A,A,A,A,A,A,A,A,A,A,A,1,7.142857142857142,13.2,,,,19,,,,,,,15,,10,,,,,,,,,,8,,10,,,,,7,,,,
9,9,0221586049,A,A,P,P,A,A,A,A,A,A,P,A,A,A,3,21.428571428571427,16.8,,,,19,,,,,,,15.5,,19,,,,,,,,,,17.5,,16,,,,,,,,,
