Unnamed: 0,0000000000,Student ID,27 Sep 2023,4 Oct 2023,18 Oct 2023,25 Oct 2023,8 Nov 2023,15 Nov 2023,22 Nov 2023,29 Nov 2023,6 Dec 2023,13 Dec 2023,sessionsAttended,attendancePercentage,Algorithms and Complexity,Algorithms and Complexity.1,Algorithms and Complexity.2,Algorithms and Complexity.3,Discrete Mathématics 2,Human-Computer Interaction (HCI),Information Management 1,Linear Algebra 1,Natural Language Processing,Programming Fundamentals 1,Programming Fundamentals 3,Security 1,Software Engineering 1,Web Development 1
0,0,021155815c,P,P,P,A,A,P,P,A,A,P,6,60.0,11.7,,,,11,,13,,,,12.5,11,,
1,1,021145823f,P,P,P,P,P,P,P,P,A,P,9,90.0,13.3,,,,13,,12,,,,10.7,10.5,,
2,2,0210192813,P,A,P,P,P,P,P,P,P,P,9,90.0,14.9,,,,18.5,,17,,,,18.4,14.8,,
3,3,0210208650,P,P,P,A,P,P,P,P,P,P,9,90.0,15.9,,,,14,,15,,,,19.1,17.3,,
4,4,0210110444,P,P,P,A,P,P,P,P,P,P,9,90.0,16.8,,,,14,,15,,,,18.2,13.8,,
5,5,0201395418,A,A,A,P,P,P,A,A,P,A,4,40.0,,,,,,ABS_EXAM,ABS_EXAM,,10,,2.8,,5.5,
6,6,021153080d,P,P,P,P,P,P,P,P,P,P,10,100.0,11.4,,,,10,,12,,,,13.0,13,,
7,7,0210110646,P,P,P,P,A,P,P,A,P,P,8,80.0,12.2,,,,7,,11,,,,14.3,11.7,,
8,8,0211546145,P,P,P,P,P,P,P,P,A,P,9,90.0,10.8,,,,10,,11,,,,11.7,10.6,,
9,9,021154835b,P,P,P,P,A,P,P,P,P,P,9,90.0,10.4,,,,10,,7,,,,5.8,8.9,,
10,10,021137204a,P,P,A,A,A,P,A,A,A,A,3,30.0,ABS_EXAM,,,,ABS_EXAM,,0,8,,,,0,,
11,11,0211428539,P,A,P,A,A,P,P,A,A,A,4,40.0,12.3,,,,11,,4,,,,10.6,12.7,,
12,12,0210268500,P,P,P,A,P,P,P,P,P,P,9,90.0,12,,,,12,,12,,,,13.6,14.4,,
13,13,0200838753,P,P,P,P,A,P,P,P,A,P,8,80.0,,,ABS_EXAM,,,,10,,ABS_EXAM,,0.0,,ABS_EXAM,
14,14,0210857849,P,P,A,P,P,P,P,A,P,P,8,80.0,14.7,,,,13,,10,,,,13.8,10.9,,
16,16,0191241128,P,P,P,P,P,P,P,P,A,P,9,90.0,,,,,,,,,,,,,,
17,17,0211442503,P,P,P,P,P,P,P,P,A,P,9,90.0,11.9,,,,14,,13,,,,13.9,13.2,,
18,18,021006922c,P,P,P,P,P,P,P,P,P,P,10,100.0,13.5,,,,11,,12,,,,12.5,14.9,,
20,20,0210490455,P,P,P,P,P,P,P,A,P,A,8,80.0,7.4,,,,10,,10,,,,6.3,3.5,,
22,22,0210242822,P,P,P,P,P,P,P,P,P,P,10,100.0,7,,,,13,,5,,,5.3,10.0,6.5,,
23,23,021060141f,P,P,P,P,P,P,P,P,P,P,10,100.0,11.4,,,,14,,14,,,,12.7,16.2,,
24,24,0210424407,P,P,P,A,P,A,P,P,P,P,8,80.0,9,,,,8,,7,,,,7.5,10.9,,
27,27,021152110d,P,P,P,P,P,P,P,P,P,P,10,100.0,13.4,,,,12,,14,,,,14.1,10.5,,
28,28,0211109443,P,P,P,A,P,P,A,P,P,P,8,80.0,11.7,,,,11,,15,,,,12.6,14.3,,
29,29,021137093f,P,P,P,P,P,P,P,P,P,P,10,100.0,13.7,,,,17,,19,,,,14.4,16.8,,
