Unnamed: 0,0000000000,Student ID,Session 21/09/2023,Session 28/09/2023,Session 05/10/2023,Session 12/10/2023,Session 19/10/2023,Session 26/10/2023,Session 02/11/2023,Session 09/11/2023,Session 16/11/2023,Session 23/11/2023,Session 30/11/2023,Session 07/12/2023,Session 14/12/2023,Session 21/12/2023,sessionsAttended,attendancePercentage,Algorithms and Complexity,Analysis 1,Bachelor Semester Project 1,Bachelor Semester Project 2,Bachelor Semester Project 3,Bachelor Semester Project 5,Bachelor Semester Project 6,Computational Science,Computational Science 1,Computing Infrastructure 1,Discrete Mathematics 1,Discrete Mathématics 2,Human-Computer Interaction (HCI),Information Management 1,Information Management 2,Intelligent Systems 2,Introduction to Machine Learning,Linear Algebra 1,Linear Algebra 2,Natural Language Processing,Online Course (OL),Online courses (OL),Programming Fundamentals 1,Programming Fundamentals 3,Programming Languages,Security 1,Security 2,Software Engineering 1,Software Engineering 2,Software Foundations,Theoretical Computer Science 1,User Centered Design,Web Development 1,Web Development 2,Unnamed: 35
0,0,0230192502,P,A,A,A,A,P,A,A,A,P,P,A,A,A,4,28.57142857142857,,9.1,6,,,,,,,,11.4,,,,,,,12,,,,,10,,,,,,,,,,15.3,,
1,1,0230901309,P,P,P,P,A,P,P,A,P,A,A,A,A,A,7,50.0,,20,15,,,,,,,,17.4,,,,,,,20,,,,,18.3,,,,,,,,,,17.3,,
2,2,0232421650,P,A,A,P,A,P,P,A,P,P,P,A,P,A,8,57.14285714285714,,17.5,12.5,,,,,,,,14.2,,,,,,,18,,,,,14.7,,,,,,,,,,18,,
3,3,0230147929,P,A,A,A,A,A,A,A,P,P,P,A,A,A,4,28.57142857142857,,18.5,10.5,,,,,,,,12.8,,,,,,,17,,,,,13.7,,,,,,,,,,17.3,,
4,4,023237761c,A,A,P,A,A,A,A,A,P,A,A,A,A,A,2,14.285714285714285,,ABS_EXAM,13,,,,,,,,ABS_EXAM,,,,,,,6,,,,,ABS_EXAM,,,,,,,,,,16.2,,
5,5,0232586954,P,P,P,A,P,A,A,A,A,A,A,A,A,A,4,28.57142857142857,,ABS_EXAM_JUST,ABS_EXAM,,,,,,,,ABS_EXAM_JUST,,,,,,,ABS_EXAM_JUST,,,,,ABS_EXAM_JUST,,,,,,,,,,ABS_EXAM_JUST,,
6,6,0231567248,A,P,A,A,P,P,P,A,P,P,P,A,P,P,9,64.28571428571429,,20,14.5,,,,,,,,20,,,,,,,20,,,,,19.4,,,,,,,,,,19.3,,
7,7,023111510d,A,P,P,P,A,P,A,P,P,A,P,P,A,A,8,57.14285714285714,,13.7,17,,,,,,,,14,,,,,,,16,,,,,17.1,,,,,,,,,,14.7,,
8,8,023242772c,P,A,A,P,A,A,A,A,A,A,A,A,A,P,3,21.428571428571427,,ABS_EXAM,10,,,,,,,,,,,,,,,7,,,,,ABS_EXAM,,,,,,,,,,10.9,,
9,9,0232637609,P,P,P,A,A,A,A,A,A,A,A,A,A,A,3,21.428571428571427,,4.1,12.5,,,,,,,,5,,,,,,,6,,,,,4.1,,,,,,,,,,12.8,,
10,10,0232348219,A,A,A,A,A,A,A,A,A,A,A,A,A,A,0,0.0,,ABS_EXAM,ABS_EXAM,,,,,,,,ABS_EXAM,,,,,,,ABS_EXAM,,,,,1.8,,,,,,,,,,ABS_EXAM,,
11,11,0232374760,P,P,P,P,A,P,P,A,A,P,P,P,P,A,10,71.42857142857143,,16.2,12.5,,,,,,,,17.8,,,,,,,17,,,,,14.4,,,,,,,,,,17.3,,
12,12,0210831908,P,P,A,P,P,A,P,A,A,P,A,A,P,A,7,50.0,,7.1,13,,,,,,,,6.2,,,,,,,4,,,,,3.2,,,,,,,,,,3.3,,
13,13,023152592f,A,A,A,A,A,A,A,A,A,A,P,A,A,A,1,7.142857142857142,,8.7,8.5,,,,,,,,5.7,,,,,,,7,,,,,5.4,,,,,,,,,,12.8,,
14,14,0232302333,A,P,P,A,P,P,A,A,P,A,P,A,A,P,7,50.0,,,14,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,16.4,,
15,15,0230939806,A,A,A,A,A,A,A,A,A,A,A,A,A,A,0,0.0,,8.5,12.5,,,,,,,,6.1,,,,,,,4,,,,,8.6,,,,,,,,,,13.7,,
16,16,0231507438,A,A,A,A,A,A,A,A,A,A,P,A,A,A,1,7.142857142857142,,,10,,,,,,,,,,,,,,,13,,,,,16.1,,,,,,,,,,17,,
17,17,0232503318,P,A,A,A,P,A,A,A,A,A,A,A,A,A,2,14.285714285714285,,2.8,8,,,,,,,,8.5,,,,,,,4,,,,,13.6,,,,,,,,,,11.3,,
18,18,023111832d,P,A,A,A,A,A,A,A,P,A,P,A,A,A,3,21.428571428571427,,7.2,6.5,,,,,,,,7.8,,,,,,,10,,,,,7.9,,,,,,,,,,16,,
19,19,023200720a,A,A,A,A,A,A,A,A,A,A,P,A,P,P,3,21.428571428571427,,17.5,10,,,,,,,,12.4,,,,,,,17,,,,,14.2,,,,,,,,,,16.6,,
20,20,023138314a,P,A,A,A,A,A,P,A,A,A,P,A,A,A,3,21.428571428571427,,14.6,12,,,,,,,,8.4,,,,,,,11,,,,,7.6,,,,,,,,,,16.7,,
21,21,0232548356,A,A,A,A,A,A,A,A,A,A,A,A,A,A,0,0.0,,19.3,9,,,,,,,,8.3,,,,,,,12,,,,,12,,,,,,,,,,16.4,,
